コード,銘柄名,市場,業種,規模,終値,平均売買代金(百万円),テクニカル一致数,候補根拠,株価基準日,取得日時
1972,三晃金属工業,スタンダード（内国株式）,建設業,-,1311.0,33.773605,2,25日線が75日線より上／MACDがプラス,2026-09-24,2026-09-24T20:36:20.220693+09:00
1975,朝日工業社,プライム（内国株式）,建設業,TOPIX Small 1,3995.0,263.45065,2,株価が25日線より上／MACDがプラス,2026-09-24,2026-09-24T20:36:20.225020+09:00
1976,明星工業,プライム（内国株式）,建設業,TOPIX Small 2,1724.0,140.197475,0,,2026-09-24,2026-09-24T20:36:20.227997+09:00
1979,大氣社,プライム（内国株式）,建設業,TOPIX Small 1,3800.0,845.930475,0,,2026-09-24,2026-09-24T20:36:20.231827+09:00
197A,タウンズ,スタンダード（内国株式）,医薬品,-,527.0,100.799565,4,株価が25日線より上／25日線が75日線より上／MACDがプラス／前日より出来高増加,2026-09-24,2026-09-24T20:36:20.236893+09:00
1980,ダイダン,プライム（内国株式）,建設業,TOPIX Small 1,2945.0,1373.294315,3,株価が25日線より上／25日線が75日線より上／MACDがプラス,2026-09-24,2026-09-24T20:36:20.241127+09:00
1982,日比谷総合設備,プライム（内国株式）,建設業,TOPIX Small 2,3270.0,288.90866,3,株価が25日線より上／25日線が75日線より上／MACDがプラス,2026-09-24,2026-09-24T20:36:20.247618+09:00
198A,ＰｏｓｔＰｒｉｍｅ,グロース（内国株式）,情報・通信業,-,161.0,11.7932,3,25日線が75日線より上／MACDがプラス／前日より出来高増加,2026-09-24,2026-09-24T20:36:22.212876+09:00
1994,高橋カーテンウォール工業,スタンダード（内国株式）,建設業,-,612.0,11.90257,4,株価が25日線より上／25日線が75日線より上／MACDがプラス／前日より出来高増加,2026-09-24,2026-09-24T20:36:22.219842+09:00
2001,ニップン,プライム（内国株式）,食料品,TOPIX Small 1,2926.0,430.02608,2,25日線が75日線より上／MACDがプラス,2026-09-24,2026-09-24T20:36:22.224925+09:00
2002,日清製粉グループ本社,プライム（内国株式）,食料品,TOPIX Mid400,2013.5,1922.62879,2,25日線が75日線より上／MACDがプラス,2026-09-24,2026-09-24T20:36:22.228069+09:00
2003,日東富士製粉,スタンダード（内国株式）,食料品,TOPIX Small 2,1898.0,35.6044,4,株価が25日線より上／25日線が75日線より上／MACDがプラス／前日より出来高増加,2026-09-24,2026-09-24T20:36:22.232386+09:00
2004,昭和産業,プライム（内国株式）,食料品,TOPIX Small 2,3905.0,212.569375,4,株価が25日線より上／25日線が75日線より上／MACDがプラス／前日より出来高増加,2026-09-24,2026-09-24T20:36:22.235295+09:00
2009,鳥越製粉,スタンダード（内国株式）,食料品,-,1115.0,12.7827,3,株価が25日線より上／25日線が75日線より上／MACDがプラス,2026-09-24,2026-09-24T20:36:22.237990+09:00
2053,中部飼料,プライム（内国株式）,食料品,TOPIX Small 2,2022.0,135.645855,3,25日線が75日線より上／MACDがプラス／前日より出来高増加,2026-09-24,2026-09-24T20:36:22.240945+09:00
205A,ロゴスホールディングス,グロース（内国株式）,建設業,-,1657.0,41.35166,1,前日より出来高増加,2026-09-24,2026-09-24T20:36:22.248024+09:00
